gene_id	chromosome	start	end	strand
GLYMA_01G001100	1	208102	212611	+
GLYMA_01G003100	1	370186	371789	+
GLYMA_01G005500	1	547479	548595	+
GLYMA_01G011400	1	1088742	1088881	+
GLYMA_01G012700	1	1211968	1212095	+
GLYMA_01G013600	1	1307877	1311147	-
GLYMA_01G016200	1	1554167	1554874	-
GLYMA_01G017800	1	1723018	1723121	+
GLYMA_01G019700	1	1941536	1941656	-
GLYMA_01G025000	1	2559089	2559374	-
GLYMA_01G025500	1	2701706	2701792	-
GLYMA_01G027600	1	2886295	2886396	-
GLYMA_01G029700	1	3141233	3141361	-
GLYMA_01G031400	1	3265220	3266383	+
GLYMA_01G032800	1	3440464	3440752	+
GLYMA_01G033400	1	3504863	3505445	+
GLYMA_01G038200	1	4045241	4045386	-
GLYMA_01G042800	1	4673752	4674263	-
GLYMA_01G045300	1	5134881	5135039	+
GLYMA_01G045800	1	5281116	5281283	-
GLYMA_01G046200	1	5329900	5330523	-
GLYMA_01G048600	1	5669191	5669657	-
GLYMA_01G049600	1	5815577	5815774	-
GLYMA_01G053400	1	6755356	6757915	+
GLYMA_01G054000	1	6957064	6957579	-
GLYMA_01G054300	1	6998244	6999348	+
GLYMA_01G055700	1	7213152	7213254	-
GLYMA_01G061900	1	8562208	8562281	+
GLYMA_01G064400	1	9630136	9630264	-
GLYMA_01G079600	1	21211061	21211458	-
GLYMA_01G082700	1	24096131	24096504	+
GLYMA_01G088500	1	26853380	26854369	-
GLYMA_01G089200	1	27012644	27012723	+
GLYMA_01G089900	1	27180358	27181607	-
GLYMA_01G090100	1	27238450	27239510	+
GLYMA_01G099000	1	32999046	32999417	+
GLYMA_01G112700	1	38402560	38402667	+
GLYMA_01G117200	1	40497888	40498363	-
GLYMA_01G119100	1	40904992	40905526	-
GLYMA_01G122300	1	42018748	42019343	-
GLYMA_01G130400	1	44553002	44553148	-
GLYMA_01G141100	1	47119021	47119434	+
GLYMA_01G145700	1	48067074	48068295	-
GLYMA_01G148500	1	48560589	48560824	-
GLYMA_01G149100	1	48607989	48608367	-
GLYMA_01G149800	1	48704530	48705130	+
GLYMA_01G149900	1	48707486	48708349	-
GLYMA_01G150300	1	48728025	48728440	+
GLYMA_01G152700	1	48963693	48965011	+
GLYMA_01G153000	1	49017587	49017661	+
GLYMA_01G168300	1	50601298	50602772	-
