gene_id	chromosome	start	end	strand
Os01g0100300	1	12043	12145	-
Os01g0100200	1	12061	12151	+
Os01g0101600	1	77206	77332	+
Os01g0108600	1	480414	480469	+
Os01g0110800	1	577483	577563	-
Os01g0111400	1	598480	598763	+
Os01g0115300	1	809110	809266	-
Os01g0115700	1	853373	853576	-
Os01g0117700	1	998750	999897	+
Os01g0121500	1	1217779	1217944	-
Os01g0121950	1	1241309	1241613	+
Os01g0122200	1	1254084	1254207	+
Os01g0135000	1	1914873	1915019	+
Os01g0135600	1	1929736	1929906	+
Os01g0137250	1	1995650	1995805	+
Os01g0137550	1	2018540	2018774	-
Os01g0137700	1	2024803	2024893	+
Os01g0138500	1	2061207	2061300	+
Os01g0140500	1	2138046	2138286	+
Os01g0149700	1	2689033	2689194	-
Os01g0149750	1	2689033	2689194	+
Os01g0152000	1	2810584	2810703	+
Os01g0152500	1	2828066	2828156	-
Os01g0152687	1	2835884	2836024	+
Os01g0152850	1	2842741	2842891	-
Os01g0152800	1	2842746	2842896	+
Os01g0153050	1	2854674	2854816	-
Os01g0153000	1	2854676	2854818	+
Os01g0153200	1	2863392	2863525	-
Os01g0153500	1	2886070	2886214	+
Os01g0155500	1	2982650	2982802	+
Os01g0162900	1	3284700	3284791	-
Os01g0165000	1	3359349	3359838	+
Os01g0165800	1	3388366	3389178	-
Os01g0167100	1	3432819	3432917	+
Os01g0167800	1	3468896	3469257	-
Os01g0169400	1	3552877	3552989	-
Os01g0174600	1	3831133	3831275	-
Os01g0176050	1	3918595	3919301	-
Os01g0176000	1	3918604	3919311	+
Os01g0176100	1	3921868	3922140	+
Os01g0176300	1	3926900	3927180	-
Os01g0182200	1	4315479	4315508	-
Os01g0185500	1	4542647	4544502	+
Os01g0187300	1	4668371	4668594	+
Os01g0193500	1	5019067	5019571	-
Os01g0201200	1	5513287	5514142	-
Os01g0209901	1	5984321	5984412	+
Os01g0211800	1	6095303	6095457	-
Os01g0214600	1	6268296	6268441	+
Os01g0220400	1	6587508	6587815	-
Os01g0222300	1	6694294	6694383	-
Os01g0223300	1	6732432	6733534	+
Os01g0224400	1	6838900	6839618	+
Os01g0226700	1	7009483	7009914	+
Os01g0234001	1	7415117	7415196	-
Os01g0234200	1	7424914	7425033	-
Os01g0242200	1	7848902	7849141	+
Os01g0249700	1	8229440	8229526	+
Os01g0251400	1	8306137	8306386	-
Os01g0255100	1	8491909	8491987	+
Os01g0259200	1	8683338	8684013	+
Os01g0261700	1	8821958	8822050	-
Os01g0264700	1	9004812	9004856	-
Os01g0269100	1	9277156	9277694	-
Os01g0271000	1	9370808	9370843	+
Os01g0273150	1	9447391	9448638	+
Os01g0276300	1	9680336	9680438	+
Os01g0278050	1	9787343	9787449	+
Os01g0278200	1	9794419	9794846	-
Os01g0280200	1	9954583	9954681	+
Os01g0286900	1	10312583	10313718	+
Os01g0292700	1	10643675	10643816	+
Os01g0296000	1	10820818	10822202	-
Os01g0297200	1	10892530	10892603	+
Os01g0301100	1	11071175	11071315	+
Os01g0303800	1	11245345	11245412	+
Os01g0319400	1	12159073	12161494	-
Os01g0322300	1	12292163	12292268	-
Os01g0346250	1	13771277	13771345	+
Os01g0348800	1	13900059	13900661	-
Os01g0359400	1	14579201	14579293	-
