gene_id	chromosome	start	end	strand
Zm00001eb000030	1	106405	106485	-
Zm00001eb000060	1	189089	189145	-
Zm00001eb000180	1	551832	551936	+
Zm00001eb000320	1	1218410	1221520	-
Zm00001eb000880	1	3164641	3164691	-
Zm00001eb000960	1	3360435	3360517	+
Zm00001eb001780	1	5281911	5282026	+
Zm00001eb002930	1	8052777	8052888	-
Zm00001eb002940	1	8056047	8056674	-
Zm00001eb003450	1	9096297	9096549	+
Zm00001eb003620	1	9711415	9711527	+
Zm00001eb004390	1	12227414	12227602	+
Zm00001eb004410	1	12236440	12236532	-
Zm00001eb004470	1	12338626	12338754	-
Zm00001eb004510	1	12407350	12425711	+
Zm00001eb004770	1	13040257	13040339	+
Zm00001eb005110	1	14143644	14144397	-
Zm00001eb005900	1	16739981	16742682	+
Zm00001eb006100	1	17504899	17505198	+
Zm00001eb006320	1	17873279	17877539	+
Zm00001eb007040	1	20392426	20392559	-
Zm00001eb007150	1	21145227	21145431	-
Zm00001eb007240	1	21612932	21613425	+
Zm00001eb007490	1	21868212	21868325	+
Zm00001eb007670	1	22650255	22650299	-
Zm00001eb007800	1	22927521	22930328	-
Zm00001eb007980	1	23491700	23492392	-
Zm00001eb008310	1	25088552	25097251	+
Zm00001eb008500	1	25691982	25692128	-
Zm00001eb008920	1	27455057	27455107	-
Zm00001eb009400	1	28975955	28976104	-
Zm00001eb009680	1	30335446	30336177	-
Zm00001eb009740	1	30522073	30523104	+
Zm00001eb010160	1	32057942	32058636	+
Zm00001eb010650	1	34136746	34136835	+
Zm00001eb010660	1	34166226	34166332	+
Zm00001eb010770	1	34525360	34525464	-
Zm00001eb011040	1	35441159	35441276	-
Zm00001eb011360	1	36843613	36843734	-
Zm00001eb011590	1	37832889	37832999	-
Zm00001eb011890	1	38663058	38663152	-
Zm00001eb012330	1	40358739	40359125	+
Zm00001eb012550	1	41300239	41300323	-
Zm00001eb012920	1	42957771	42957896	-
Zm00001eb012930	1	42968123	42968394	-
Zm00001eb013050	1	43349347	43349785	-
Zm00001eb013080	1	43525311	43526614	+
Zm00001eb013160	1	43964779	43964885	-
Zm00001eb013180	1	43985581	43985958	+
Zm00001eb013370	1	44793071	44793220	-
Zm00001eb013640	1	45742675	45755749	+
Zm00001eb013740	1	45966186	45966545	-
Zm00001eb013900	1	46520490	46520720	-
Zm00001eb015170	1	51958533	51966311	+
Zm00001eb015270	1	52311673	52311763	+
Zm00001eb015360	1	52629553	52629751	-
Zm00001eb015800	1	54691122	54692417	-
Zm00001eb015860	1	55006801	55006879	-
Zm00001eb016010	1	55958313	55961133	+
Zm00001eb016040	1	56190193	56190360	+
Zm00001eb016180	1	56684937	56685059	+
Zm00001eb017040	1	60855693	60855818	+
Zm00001eb017530	1	62575427	62577178	-
Zm00001eb017620	1	62697275	62698029	+
Zm00001eb017650	1	62900518	62900998	-
Zm00001eb018100	1	64697177	64697287	-
Zm00001eb018270	1	65114901	65115235	-
Zm00001eb018440	1	65766789	65766957	+
Zm00001eb018650	1	66561248	66561345	-
Zm00001eb018860	1	67655859	67656006	-
Zm00001eb018880	1	67797373	67797430	+
Zm00001eb018980	1	67945160	67946230	+
Zm00001eb020710	1	77593013	77603077	+
Zm00001eb020730	1	77751791	77751940	+
Zm00001eb021080	1	80059966	80060043	-
Zm00001eb021240	1	80570022	80570293	-
Zm00001eb021380	1	81291498	81292038	+
Zm00001eb021410	1	81466514	81466594	-
Zm00001eb021610	1	82297473	82297616	+
Zm00001eb021660	1	82377656	82377825	+
Zm00001eb021680	1	82383897	82384020	+
Zm00001eb022190	1	85202543	85203502	+
Zm00001eb022220	1	85240646	85240828	+
Zm00001eb022250	1	85330432	85330543	-
Zm00001eb022670	1	87210693	87210791	+
Zm00001eb022700	1	87300540	87300623	-
Zm00001eb023220	1	91377000	91377988	+
Zm00001eb023290	1	91894610	91897164	-
Zm00001eb023500	1	93475291	93480468	+
Zm00001eb023840	1	96169087	96170064	+
Zm00001eb024190	1	98088282	98089735	+
Zm00001eb024380	1	100184510	100184616	+
Zm00001eb024450	1	100563478	100563710	+
Zm00001eb024700	1	102729073	102729298	+
Zm00001eb024750	1	103211296	103211378	+
Zm00001eb024930	1	104781712	104781994	-
Zm00001eb025000	1	105204041	105204121	+
Zm00001eb025150	1	106946106	106946735	-
Zm00001eb025250	1	107690204	107690908	-
Zm00001eb025990	1	114983905	114984013	-
Zm00001eb026110	1	116995194	116995298	-
Zm00001eb026590	1	122705050	122705487	+
Zm00001eb026690	1	124029573	124029650	-
Zm00001eb027330	1	131141734	131142112	+
Zm00001eb029170	1	157368156	157368246	+
Zm00001eb029490	1	160186317	160188099	-
Zm00001eb029690	1	162003331	162009429	+
Zm00001eb029780	1	163143152	163143880	+
Zm00001eb030380	1	167852730	167854834	-
Zm00001eb030400	1	168256923	168257063	-
Zm00001eb030440	1	168514265	168514624	-
Zm00001eb030800	1	170825903	170826039	+
Zm00001eb030840	1	170845718	170845854	+
Zm00001eb031010	1	172385108	172385835	+
Zm00001eb031070	1	172693737	172693852	-
Zm00001eb031080	1	173222383	173223619	+
Zm00001eb031390	1	176175511	176175947	+
Zm00001eb031410	1	176245353	176245485	-
Zm00001eb031600	1	177005498	177005580	-
Zm00001eb032460	1	181702157	181702692	-
Zm00001eb033040	1	184434873	184435004	+
Zm00001eb033080	1	184486244	184486321	-
Zm00001eb033210	1	184901162	184903767	+
Zm00001eb033450	1	186171632	186171911	+
Zm00001eb033470	1	186173450	186174100	-
Zm00001eb033700	1	186983211	186986725	-
Zm00001eb033930	1	187896246	187896389	+
Zm00001eb033940	1	187911839	187912259	-
Zm00001eb034130	1	188406689	188406737	-
Zm00001eb034150	1	188448741	188448862	+
Zm00001eb034180	1	188760891	188764186	+
Zm00001eb034380	1	189639778	189640784	+
Zm00001eb034930	1	192219974	192223944	+
Zm00001eb034950	1	192262122	192264279	-
Zm00001eb035070	1	192793735	192793819	-
Zm00001eb035250	1	193304902	193307198	+
Zm00001eb035330	1	193588179	193588476	+
Zm00001eb035890	1	195840462	195840720	-
Zm00001eb036270	1	197381450	197382118	+
Zm00001eb036310	1	197587135	197587598	+
Zm00001eb036350	1	197654575	197656785	+
Zm00001eb037340	1	200886305	200886371	+
Zm00001eb037730	1	202841828	202841910	+
Zm00001eb037940	1	203410722	203410848	-
Zm00001eb038320	1	204777560	204777689	+
Zm00001eb038640	1	206227454	206227572	+
