gene_id	chromosome	start	end	strand
Solyc01g005050.4	SL4.0ch01	73499	73626	+
Solyc01g005290.4	SL4.0ch01	224437	224809	-
Solyc01g005450.3	SL4.0ch01	329043	329754	-
Solyc01g005960.3	SL4.0ch01	636421	637156	+
Solyc01g006190.3	SL4.0ch01	832535	833472	-
Solyc01g006340.3	SL4.0ch01	927348	927496	+
Solyc01g006430.3	SL4.0ch01	1042285	1042372	-
Solyc01g006860.3	SL4.0ch01	1430659	1431032	-
Solyc01g007140.3	SL4.0ch01	1709563	1709794	+
Solyc01g007780.4	SL4.0ch01	1883309	1883922	-
Solyc01g008020.4	SL4.0ch01	2135349	2135535	-
Solyc01g008060.3	SL4.0ch01	2153523	2154838	+
Solyc01g008690.3	SL4.0ch01	2691036	2691719	-
Solyc01g008900.4	SL4.0ch01	2872398	2872524	+
Solyc01g009020.4	SL4.0ch01	2971766	2971888	-
Solyc01g009190.3	SL4.0ch01	3181685	3182117	+
Solyc01g009443.1	SL4.0ch01	3623822	3624452	-
Solyc01g010160.3	SL4.0ch01	4971416	4971503	-
Solyc01g010365.1	SL4.0ch01	5215188	5215760	-
Solyc01g010440.4	SL4.0ch01	5372945	5373206	-
Solyc01g010480.3	SL4.0ch01	5397380	5397483	-
Solyc01g010490.4	SL4.0ch01	5404445	5404554	-
Solyc01g010780.4	SL4.0ch01	5870294	5870365	-
Solyc01g010890.4	SL4.0ch01	6375102	6376607	+
Solyc01g014140.3	SL4.0ch01	11734694	11734772	+
Solyc01g014270.3	SL4.0ch01	11996021	11998783	+
Solyc01g014320.4	SL4.0ch01	12090835	12091099	+
Solyc01g014480.3	SL4.0ch01	13997297	13997808	-
Solyc01g020372.1	SL4.0ch01	29476686	29476784	-
Solyc01g022740.3	SL4.0ch01	32862814	32863096	-
Solyc01g028830.3	SL4.0ch01	37046786	37047135	+
Solyc01g044340.3	SL4.0ch01	38613043	38613190	+
Solyc01g049880.3	SL4.0ch01	42088499	42089411	-
Solyc01g056600.2	SL4.0ch01	48263693	48264008	+
Solyc01g056620.4	SL4.0ch01	48294167	48294912	+
Solyc01g056720.4	SL4.0ch01	49550568	49550639	-
Solyc01g056790.3	SL4.0ch01	49805529	49807166	+
Solyc01g057200.4	SL4.0ch01	52956562	52956648	-
Solyc01g057780.3	SL4.0ch01	57097182	57097748	-
Solyc01g057785.1	SL4.0ch01	57151829	57152039	-
Solyc01g058010.3	SL4.0ch01	58188901	58189237	+
Solyc01g058170.4	SL4.0ch01	58726199	58726619	+
Solyc01g058260.4	SL4.0ch01	59098934	59099350	-
Solyc01g058673.1	SL4.0ch01	60766080	60766422	-
Solyc01g060250.2	SL4.0ch01	63163859	63165692	+
Solyc01g065740.3	SL4.0ch01	65117887	65118280	+
Solyc01g066620.4	SL4.0ch01	67533885	67534561	+
Solyc01g066880.3	SL4.0ch01	67892008	67892092	-
Solyc01g067120.4	SL4.0ch01	68253900	68255472	-
Solyc01g067480.4	SL4.0ch01	68959647	68959775	+
Solyc01g067790.3	SL4.0ch01	69539326	69539643	+
Solyc01g068020.4	SL4.0ch01	69838537	69839287	-
Solyc01g068140.4	SL4.0ch01	70040186	70040307	+
Solyc01g068470.4	SL4.0ch01	70505049	70506645	-
Solyc01g079320.4	SL4.0ch01	70974063	70974134	-
Solyc01g079360.4	SL4.0ch01	71029744	71029945	-
Solyc01g079680.3	SL4.0ch01	71372156	71373050	+
