gene_id	chromosome	start	end	strand
AT1G01030	1	12355	12423	-
AT1G01030	1	13174	13334	-
AT1G01060	1	33590	33980	-
AT1G01640	1	231909	232397	-
AT1G04053	1	275978	276246	-
AT1G01770	1	282767	282848	+
AT1G02020	1	353513	353621	-
AT1G02090	1	387656	388267	-
AT1G02180	1	414218	414423	-
AT1G02260	1	442621	442717	-
AT1G04103	1	460637	461770	+
AT1G02510	1	520805	520889	-
AT1G02630	1	561321	561452	-
AT1G02730	1	597383	597520	-
AT1G02830	1	625293	625372	-
AT1G02980	1	681026	681110	+
AT1G03165	1	766381	767141	+
AT1G03320	1	817097	817174	+
AT1G03620	1	907463	907621	-
AT1G03670	1	914840	914908	-
AT1G03810	1	959009	959427	+
AT1G04030	1	1042316	1042567	+
AT1G04120	1	1070495	1070687	-
AT1G04180	1	1105289	1105388	+
AT1G04295	1	1148073	1148175	+
AT1G04350	1	1165802	1165872	+
AT1G04425	1	1194278	1195438	+
AT1G04570	1	1247993	1248116	-
AT1G04840	1	1363700	1363797	-
AT1G04870	1	1375212	1375382	-
AT1G05087	1	1463529	1463648	+
AT1G05220	1	1512264	1512494	+
AT1G05410	1	1587125	1587205	-
AT1G05490	1	1623214	1623296	-
AT1G05540	1	1640315	1640385	+
AT1G05675	1	1701930	1702070	-
AT1G05750	1	1723344	1723856	+
AT1G05835	1	1762309	1762379	+
AT1G06020	1	1824950	1825313	+
AT1G06260	1	1916894	1916998	+
AT1G06620	1	2026756	2026842	+
AT1G06650	1	2036842	2036957	+
AT1G06670	1	2046392	2046475	+
AT1G06740	1	2070894	2071101	+
AT1G06810	1	2091831	2091929	-
AT1G06923	1	2127001	2127084	+
AT1G06970	1	2138361	2138484	+
AT1G07020	1	2155756	2155877	-
AT1G07485	1	2301580	2301664	+
AT1G07590	1	2337900	2338127	-
AT1G07710	1	2388051	2388332	-
AT1G07728	1	2396435	2396528	+
AT1G07740	1	2398690	2399098	-
AT1G07820	1	2421784	2421902	-
AT1G07860	1	2429184	2429265	-
AT1G07880	1	2434622	2434726	-
AT1G08070	1	2516315	2516394	-
AT1G08135	1	2549992	2550084	-
AT1G08165	1	2561964	2562055	-
AT1G08390	1	2642542	2642989	+
AT1G08500	1	2689303	2689387	+
AT1G08610	1	2735635	2735715	-
AT1G08695	1	2769253	2769413	-
AT1G08790	1	2812479	2812563	+
AT1G09050	1	2918757	2918833	+
AT1G09090	1	2936297	2936385	+
AT1G09130	1	2939860	2940071	-
AT1G09160	1	2953075	2953162	-
AT1G09510	1	3070580	3070673	+
AT1G09720	1	3147131	3147209	-
AT1G04743	1	3204439	3204507	+
AT1G10225	1	3354282	3354360	+
AT1G10300	1	3377966	3378210	+
AT1G10350	1	3394034	3394249	-
AT1G10360	1	3396101	3396485	-
AT1G10470	1	3443752	3443833	-
AT1G10717	1	3562244	3562345	+
AT1G10747	1	3574376	3574448	+
AT1G10750	1	3576333	3576444	-
AT1G10990	1	3670902	3670979	-
AT1G11210	1	3756262	3756370	-
AT1G11370	1	3830235	3830831	-
AT1G11670	1	3930908	3931167	-
AT1G11710	1	3949266	3949352	+
AT1G11785	1	3980259	3980872	-
AT1G12140	1	4123665	4124144	+
AT1G12211	1	4143481	4143585	-
AT1G12400	1	4221935	4222286	+
AT1G04953	1	4258446	4258537	+
AT1G12480	1	4258668	4258742	-
AT1G12620	1	4296870	4296953	-
AT1G12663	1	4311255	4311395	+
AT1G13050	1	4449727	4450156	+
AT1G13080	1	4459570	4459642	+
AT1G13090	1	4462731	4462812	+
AT1G13100	1	4464868	4464950	+
AT1G13110	1	4468175	4468245	+
AT1G13143	1	4479274	4479450	+
AT1G13400	1	4598514	4598598	+
AT1G13410	1	4601650	4601873	+
AT1G13448	1	4612572	4612666	+
AT1G13510	1	4630282	4630367	-
AT1G13540	1	4636297	4636385	-
AT1G13550	1	4637922	4637998	-
AT1G13605	1	4658652	4658747	+
AT1G13607	1	4660839	4660940	+
AT1G13800	1	4730698	4730786	-
AT1G13890	1	4751493	4751580	+
AT1G13980	1	4788655	4789491	+
AT1G14100	1	4828067	4828142	+
AT1G14130	1	4836621	4836693	-
AT1G14140	1	4838662	4839215	-
AT1G14250	1	4868525	4868653	+
AT1G14500	1	4960972	4961066	+
AT1G14518	1	4967265	4967343	-
AT1G14642	1	5026406	5026495	+
AT1G14650	1	5030603	5030718	+
AT1G14760	1	5084656	5085048	-
AT1G15150	1	5212932	5213046	+
AT1G15360	1	5283460	5283597	+
AT1G15380	1	5290820	5290936	+
AT1G15410	1	5300294	5300405	+
AT1G15885	1	5460691	5460969	+
AT1G15970	1	5488543	5488909	-
AT1G15990	1	5492024	5492092	-
AT1G15990	1	5492841	5492938	-
AT1G16250	1	5558703	5559078	+
AT1G16380	1	5598733	5598872	-
AT1G16380	1	5599814	5599902	-
AT1G16440	1	5615880	5616099	+
AT1G16440	1	5616714	5616785	+
AT1G16705	1	5712234	5712444	+
AT1G16960	1	5800032	5800161	+
AT1G17160	1	5869041	5869152	+
AT1G17232	1	5893235	5893324	-
AT1G17285	1	5921113	5921217	+
AT1G05313	1	5975300	5975391	-
AT1G17450	1	5996255	5996337	-
AT1G17455	1	5997400	5997893	+
AT1G17530	1	6028271	6028906	+
AT1G17610	1	6055904	6056032	+
AT1G17600	1	6056010	6056108	-
AT1G17730	1	6099535	6099866	+
AT1G18300	1	6300032	6300366	+
AT1G18382	1	6326601	6326675	-
AT1G18510	1	6373712	6373790	+
AT1G18940	1	6544329	6544488	+
AT1G19000	1	6561143	6561320	-
AT1G19130	1	6610095	6610419	-
AT1G19180	1	6622475	6622672	+
AT1G19200	1	6625243	6625347	-
AT1G19290	1	6669267	6669375	+
AT1G19320	1	6679382	6679489	+
AT1G19360	1	6692298	6692382	-
AT1G19380	1	6698345	6698434	+
AT1G19397	1	6711528	6711607	+
AT1G19430	1	6727739	6727815	-
AT1G19720	1	6819819	6819897	-
AT1G19770	1	6832469	6832563	+
AT1G19790	1	6839838	6839937	-
AT1G19850	1	6887045	6887380	+
AT1G20030	1	6945771	6945844	+
AT1G20180	1	6997266	6997358	+
AT1G20280	1	7023917	7024062	+
AT1G20405	1	7077258	7077344	+
AT1G20691	1	7175702	7175876	-
AT1G20840	1	7248215	7248333	-
AT1G20870	1	7259532	7259628	-
AT1G20960	1	7301866	7301956	-
AT1G21150	1	7407404	7407703	-
AT1G21200	1	7423004	7423638	+
AT1G21722	1	7628554	7628648	+
AT1G21780	1	7652276	7652373	+
AT1G21840	1	7666570	7666843	+
AT1G21970	1	7728415	7729519	-
AT1G22020	1	7757141	7757605	+
AT1G22040	1	7768052	7768345	+
AT1G22110	1	7802476	7802589	-
AT1G22250	1	7859177	7859261	+
AT1G22310	1	7883126	7883196	-
AT1G22340	1	7891411	7891573	-
AT1G22370	1	7899039	7899362	-
AT1G22403	1	7908913	7909291	-
AT1G22530	1	7957550	7957651	-
AT1G22570	1	7977416	7977494	-
AT1G22830	1	8076733	8076818	+
AT1G22990	1	8139308	8139410	+
AT1G23610	1	8363451	8363513	-
AT1G23750	1	8400248	8400644	+
AT1G23970	1	8483010	8483105	-
AT1G24000	1	8496320	8496420	-
AT1G24010	1	8499283	8499361	-
AT1G24095	1	8523247	8523379	+
AT1G24148	1	8544630	8545019	+
AT1G24260	1	8594116	8594325	-
AT1G24490	1	8682691	8682965	+
AT1G24625	1	8726662	8726960	-
AT1G25380	1	8905984	8906073	+
AT1G25390	1	8906342	8906629	-
AT1G26210	1	9067426	9067521	+
AT1G26218	1	9071892	9071972	-
AT1G26290	1	9098081	9098156	+
AT1G26320	1	9106400	9106496	+
AT1G26355	1	9118034	9118353	-
AT1G26558	1	9176138	9176274	+
AT1G26580	1	9185279	9185581	+
AT1G26680	1	9223155	9223227	+
AT1G27120	1	9421309	9421424	+
AT1G27140	1	9428188	9428314	+
AT1G27170	1	9438585	9438664	+
AT1G27180	1	9446085	9446171	+
AT1G27420	1	9520069	9520140	+
AT1G28030	1	9772998	9773096	+
AT1G28060	1	9782696	9782775	+
AT1G28220	1	9860669	9860744	-
AT1G28280	1	9886311	9886677	-
AT1G28310	1	9913476	9913649	-
AT1G28500	1	10018778	10019019	+
AT1G28550	1	10037402	10037477	-
AT1G28815	1	10095914	10095998	+
AT1G29060	1	10147919	10148070	+
AT1G29080	1	10158081	10158220	-
AT1G30060	1	10545257	10545367	-
AT1G30090	1	10561079	10561331	-
AT1G30170	1	10608396	10608479	-
AT1G30170	1	10609220	10609496	-
AT1G30282	1	10663622	10663739	+
AT1G30290	1	10670224	10670399	-
AT1G30590	1	10838946	10839056	-
AT1G30670	1	10879512	10879594	-
AT1G30757	1	10909152	10909262	+
AT1G30814	1	10944230	10944316	-
AT1G30970	1	11040685	11041203	-
AT1G30990	1	11052317	11052791	+
AT1G31175	1	11141962	11142055	+
AT1G31200	1	11147320	11147414	-
AT1G31260	1	11176232	11176723	-
AT1G31290	1	11190753	11190831	+
AT1G31485	1	11272040	11272151	+
AT1G31540	1	11293158	11293236	-
AT1G31830	1	11420357	11420683	-
AT1G31835	1	11423231	11423367	-
AT1G32000	1	11508498	11508576	-
AT1G32010	1	11510238	11510334	-
AT1G32010	1	11511078	11511172	-
AT1G32120	1	11554961	11555040	+
AT1G32127	1	11557078	11557160	+
AT1G32375	1	11678948	11679174	+
AT1G32530	1	11762401	11762540	-
AT1G32583	1	11785917	11786222	+
AT1G32630	1	11797514	11797936	+
AT1G32850	1	11906652	11906753	+
AT1G32910	1	11925840	11925927	+
AT1G33240	1	12052117	12052198	-
AT1G33350	1	12089737	12089815	-
AT1G33470	1	12145943	12146026	+
AT1G33475	1	12147722	12148027	-
AT1G33910	1	12315100	12315277	+
AT1G33920	1	12320027	12320494	+
AT1G33930	1	12323566	12323887	+
AT1G34010	1	12360901	12361112	-
AT1G34110	1	12417044	12417371	-
AT1G34160	1	12441575	12441680	+
AT1G34270	1	12493691	12493889	-
AT1G34370	1	12551420	12551535	+
AT1G34418	1	12582385	12582468	+
AT1G34420	1	12587183	12587265	+
AT1G34760	1	12743987	12744076	-
AT1G34780	1	12749567	12749736	-
AT1G35260	1	12937340	12937511	-
AT1G35490	1	13061739	13061845	+
AT1G35537	1	13105388	13105506	-
AT1G35580	1	13124816	13125117	-
AT1G35625	1	13158663	13158761	-
AT1G36020	1	13434198	13434268	-
AT1G36078	1	13481874	13482281	-
AT1G06983	1	13838762	13839001	-
AT1G36640	1	13853301	13853480	-
AT1G36922	1	13984653	13984780	+
AT1G43245	1	16308740	16309086	-
AT1G44090	1	16760956	16761238	-
AT1G44120	1	16783673	16783764	+
AT1G44125	1	16786292	16786374	-
AT1G44120	1	16786722	16786809	+
AT1G45170	1	17097076	17097213	-
AT1G45545	1	17182985	17183114	-
AT1G47317	1	17347146	17347255	+
AT1G47760	1	17572730	17572883	+
AT1G48140	1	17783709	17783864	+
AT1G48285	1	17844635	17844726	-
AT1G48315	1	17854902	17855202	+
AT1G48405	1	17885493	17885568	-
AT1G48660	1	17997299	17997526	-
AT1G48780	1	18041469	18041698	+
AT1G48830	1	18060964	18061242	-
AT1G49010	1	18133139	18133258	+
AT1G49130	1	18175799	18175902	-
AT1G49340	1	18264022	18264148	+
AT1G49390	1	18279834	18279906	+
AT1G49500	1	18320677	18321414	-
AT1G49920	1	18481944	18482021	-
AT1G49920	1	18484269	18484348	-
AT1G49938	1	18488167	18488446	-
AT1G50280	1	18626145	18626229	-
AT1G50520	1	18720308	18720395	+
AT1G50690	1	18780408	18780502	+
AT1G50745	1	18810266	18810336	-
AT1G50990	1	18903919	18904250	+
AT1G51370	1	19045269	19045584	+
AT1G51402	1	19052501	19053342	+
AT1G07743	1	19052848	19052973	-
AT1G07743	1	19053482	19053558	-
AT1G51670	1	19156522	19157141	+
AT1G51850	1	19256245	19256304	-
AT1G51870	1	19266809	19266919	-
AT1G51915	1	19293690	19293764	+
